8.70252,0
11.0484,0
13.4359,0
15.82856,0
18.25818,1
20.65363,1
23.05048,1
25.44543,1
27.86545,0
30.21942,1
32.67096,0
35.04692,1
37.48403,0
38.6824,0
39.87149,1
42.26783,0
43.47584,0
44.64393,1
46.97985,0
50.02508,0
52.41172,0
54.82921,1
57.26717,0
59.60221,1
62.06878,0
63.24694,0
64.41589,0
65.68456,1
66.97297,0
68.09022,0
69.20917,0
70.49924,0
71.71453,0
72.86305,1
74.12106,0
75.27089,0
76.43036,0
77.57711,0
78.79959,1
80.06631,0
81.20795,0
82.44206,0
83.63031,0
84.86755,0
85.55499,1
86.05637,0
87.23499,0
88.42153,0
89.66144,0
90.26905,1
90.8108,0
92.04692,0
93.21561,0
94.44371,0
95.07224,1
95.64193,0
96.86228,0
98.06081,0
99.2775,0
99.85571,1
100.4452,0
101.6237,1
102.8342,0
104.0407,1
105.2386,0
106.4463,1
107.6372,0
108.8643,1
110.6924,0
110.7733,0
110.9323,0
111.0989,0
111.2518,0
